Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,chro,domain
846,Tb427_000639100,-1.5785496225217233,1.698149236089693,0.0002486532211851368,Retrotransposon hot spot protein  putative,unitig_166_Tb427v10,RHSP superfamily
847,Tb427_000027800,-1.5766011353989364,0.8396540918830886,0.0004526076146214842,hypothetical protein,Chr10_3A_Tb427v10,
848,Tb427_000830500,-1.5765819365408946,-0.11847751702968963,0.0013156517627110815,Endonuclease-reverse transcriptase  putative,unitig_317_Tb427v10,EEP superfamily
849,Tb427_110113800,-1.5758114657443485,1.983637943981064,9.331365356774721e-05,unspecified product,Chr11_core_Tb427v10,
850,Tb427_110114200,-1.5755170827858689,1.940764279738849,0.00017304203217993522,unspecified product,Chr11_core_Tb427v10,
851,Tb427_000666900,-1.57375406903018,1.2962273615858555,0.00025074732274452984,Reverse transcriptase (RNA-dependent DNA polymerase)  putative,unitig_1881_Tb427v10,RT_like superfamily
852,Tb427_100115000,-1.5737103968562318,6.177022203289867,7.5180891066102704e-06,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)  putative,Chr10_core_Tb427v10,RRM2_SRSF1_4_like
853,Tb427_000275700,-1.5690648014018869,0.7456506205522208,0.12533139884978722,Endonuclease-reverse transcriptase  putative,Chr1_5B_Tb427v10,EEP superfamily
854,Tb427_070065800,-1.5688958945191624,7.649129453766676,7.644089730331973e-07,Nodulin-like/Major Facilitator Superfamily  putative,Chr7_core_Tb427v10,PTZ00207
855,Tb427_000275900,-1.568604849759818,2.5007557868139108,0.1931899069998867,hypothetical protein  conserved,Chr1_5B_Tb427v10,lambda-1 superfamily
856,Tb427_000696400,-1.5680678814456157,0.7691267601822767,0.00048783793676774267,hypothetical protein  conserved,unitig_197_Tb427v10,
857,Tb427_090011200,-1.5677360279206252,0.8334012015038608,0.0004462844848376582,Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)  putative,Chr9_core_Tb427v10,RT_nLTR_like; EEP superfamily
858,Tb427_070022300,-1.5677311459184948,6.126380502290723,7.470644514439494e-07,Phosphoribosyl transferase domain containing protein  putative,Chr7_core_Tb427v10,PRTases_typeI superfamily
859,Tb427_070066000,-1.5663289503697195,7.6962127374161255,6.531177600224757e-07,Major Facilitator Superfamily/Nodulin-like  putative,Chr7_core_Tb427v10,PTZ00207
860,Tb427_090006700,-1.5652210491226195,7.520917609024424,4.125003153264645e-07,hypothetical protein  conserved,Chr9_core_Tb427v10,
861,Tb427_000706700,-1.5643805004312732,1.292759073851319,0.00015467704184792422,Retrotransposon hot spot protein  putative,unitig_2081_Tb427v10,RHSP superfamily
862,Tb427_100157700,-1.5634807427771082,5.809409602605604,5.133599575652913e-07,hypothetical protein  conserved,Chr10_core_Tb427v10,
863,Tb427_000741700,-1.5610741995659323,0.031668822058785434,0.007681555682137026,Retrotransposon hot spot protein  putative,unitig_2222_Tb427v10,RHSP superfamily
864,Tb427_000734000,-1.561003923305658,4.737002403992012,2.243593534073009e-06,Retrotransposon hot spot protein  putative,unitig_2213_Tb427v10,RHSP superfamily
865,Tb427_000701000,-1.558111383935218,2.6015399991668233,5.222311902508129e-05,hypothetical protein  conserved,unitig_2015_Tb427v10,
866,Tb427_080045800,-1.5563403837652494,7.626759796361897,1.6047869207948562e-06,hypothetical protein  conserved,Chr8_core_Tb427v10,
867,Tb427_040049800,-1.5556529792936769,2.074713350951696,0.0002636163980046161,hypothetical protein  conserved,Chr4_core_Tb427v10,
868,Tb427_000769300,-1.5528108490390828,-0.18974912009801767,0.003053211519182891,hypothetical protein  conserved,unitig_2455_Tb427v10,
869,Tb427_000646900,-1.5519001193994395,0.2970036861003539,0.004147547367798534,Retrotransposon hot spot protein  putative,unitig_1840_Tb427v10,RHSP superfamily
870,Tb427_000704900,-1.5503060802702109,5.236915420454165,1.539113222730949e-06,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative,unitig_2080_Tb427v10,RNA_pol_Rpb2_4; RNA_pol_Rpb2_6
871,Tb427_000272800,-1.5460145469809714,5.248361660681907,1.3462844144908909e-06,RNA polymerase Rpb2  domain 4  putative,Chr1_5A_Tb427v10,
872,Tb427_000678900,-1.5437388379414203,0.934758905229985,0.0006056597985998649,Retrotransposon hot spot protein  putative,unitig_190_Tb427v10,RHSP superfamily
873,Tb427_000800900,-1.5433587045267223,1.439683955213104,0.0005108714606906564,Retrotransposon hot spot protein  putative,unitig_262_Tb427v10,RHSP superfamily
874,Tb427_110116200,-1.541115258850967,1.8191223905959912,0.00029224588794921416,unspecified product,Chr11_core_Tb427v10,
875,Tb427_100005000,-1.5391796922871128,6.1521982181784765,1.8898161494125495e-07,Cid1 family poly A polymerase  putative,Chr10_core_Tb427v10,TRF4 superfamily
876,Tb427_000808800,-1.5389967258923227,1.38839683078605,0.00032446199835161525,Retrotransposon hot spot protein  putative,unitig_284_Tb427v10,RHSP superfamily
877,Tb427_000699200,-1.538917409250853,3.2468913789416494,6.180990797645759e-05,hypothetical protein,unitig_2003_Tb427v10,RHSP superfamily
878,Tb427_000729600,-1.5384184793412408,2.2943696365341,7.827449020101691e-05,Reverse transcriptase (RNA-dependent DNA polymerase)  putative,unitig_2196_Tb427v10,RT_like superfamily; DEAD-like_helicase_N superfamily
879,Tb427_000748200,-1.5375700073566183,1.1590994080168633,0.0007181407620337791,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,unitig_2246_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR
880,Tb427_000766100,-1.5348169408355257,-0.14979566440498487,0.0017798544010544652,Protein of unknown function (DUF1181)  putative,unitig_2451_Tb427v10,PTZ00204
881,Tb427_000485200,-1.5336366346809462,1.8029848144631448,0.00014127946229253313,hypothetical protein  conserved,Chr8_3A_Tb427v10,internalin_A superfamily; internalin_A superfamily; PLN00113 superfamily
882,Tb427_040043500,-1.5332621950486705,4.764003971924454,3.3517627666133036e-06,Fatty acid hydroxylase superfamily  putative,Chr4_core_Tb427v10,ERG3 superfamily
883,Tb427_000778300,-1.53321049742585,-0.3439233216959176,0.01109750995935205,Protein of unknown function (DUF1181)  putative,unitig_2480_Tb427v10,PTZ00204
884,Tb427_000277500,-1.5314611360782937,3.005421085548881,3.3620643598251096e-05,hypothetical protein  conserved,Chr1_5B_Tb427v10,
885,Tb427_000781000,-1.5307606902261035,0.91164036889559,0.0004032252876934545,hypothetical protein  conserved,unitig_2489_Tb427v10,
886,Tb427_000285000,-1.5300731575001347,3.0323677894101566,4.51776337425129e-05,hypothetical protein  conserved,Chr3_3A_Tb427v10,internalin_A superfamily; internalin_A superfamily; internalin_A superfamily
887,Tb427_050006600,-1.525887607289797,3.734590840190947,7.061781926815911e-05,hypothetical protein,Chr5_core_Tb427v10,
888,Tb427_060005500,-1.5199881444679324,1.3088752980035323,0.00038216094129401576,hypothetical protein  conserved,Chr6_core_Tb427v10,
889,Tb427_110115000,-1.519446792356008,2.0892163544704623,0.00012156749020503457,unspecified product,Chr11_core_Tb427v10,
890,Tb427_000644000,-1.5181466206373448,-0.06496381294388354,0.0017329938787110375,hypothetical protein  conserved,unitig_182_Tb427v10,lambda-1 superfamily
891,Tb427_000724800,-1.5175545228316376,-0.49355091880749,0.0023892206991331906,hypothetical protein  conserved,unitig_2171_Tb427v10,
892,Tb427_060028000,-1.5170432449988824,1.3588366590212926,0.0005324565159300839,hypothetical protein  conserved,Chr6_core_Tb427v10,PRK13796 superfamily
893,Tb427_040012000,-1.5164070091547344,3.4664495415783207,2.447587265853428e-05,hypothetical protein,Chr4_core_Tb427v10,
894,Tb427_030057600,-1.5134607487605134,4.991053422836196,1.9137190104689582e-06,hypothetical protein  conserved,Chr3_core_Tb427v10,
895,Tb427_040042400,-1.5127283608304878,8.541157393993727,5.459842040186069e-07,Domain of unknown function (DUF1935)/Calpain family cysteine protease  putative,Chr4_core_Tb427v10,CysPc; DUF1935
896,Tb427_100159500,-1.512727700858693,3.780421131393632,1.7688396355819748e-05,hypothetical protein  conserved,Chr10_core_Tb427v10,
897,Tb427_050047000,-1.5112393582203925,6.145967400887122,1.3564949028443194e-05,Glutamic acid/alanine-rich protein of Trypanosoma  putative,Chr5_core_Tb427v10,GARP
898,Tb427_000745800,-1.5103804952030215,-0.8277582100939291,0.005712492597972336,Protein of unknown function (DUF1181)  putative,unitig_2230_Tb427v10,PTZ00204
899,Tb427_110115400,-1.5084732869471618,1.979351188658058,0.00016175918792152877,unspecified product,Chr11_core_Tb427v10,
900,Tb427_000648200,-1.5076704238536494,-0.91693364128289,0.015634460034891568,Retrotransposon hot spot protein  putative,unitig_1841_Tb427v10,RHSP superfamily
901,Tb427_070068700,-1.5059120105211434,2.030246744157852,9.919978470141594e-05,WD domain  G-beta repeat  putative,Chr7_core_Tb427v10,WD40
902,Tb427_000745700,-1.5054519604242609,2.4184332866828067,6.574782183764925e-05,hypothetical protein  conserved,unitig_2230_Tb427v10,internalin_A superfamily; internalin_A superfamily; internalin_A superfamily
903,Tb427_000500200,-1.5036650256442907,5.117792952103407,1.0776172197619058e-05,RNA polymerase Rpb2  domain 4  putative,Chr8_3B_Tb427v10,RNA_pol_Rpb2_4
904,Tb427_000775500,-1.5032456330630766,-0.4599133222773043,0.002555756102114296,hypothetical protein  conserved,unitig_2467_Tb427v10,
905,Tb427_000643400,-1.5031145436692408,0.9382271447979031,0.0004175417895875469,hypothetical protein  conserved,unitig_182_Tb427v10,
906,Tb427_100164700,-1.5028568846740342,3.2504612411701865,3.877832574304192e-05,hypothetical protein  conserved,Chr10_core_Tb427v10,
907,Tb427_020006100,-1.5026396182048756,3.5310017304137675,2.8283288926073364e-05,hypothetical protein  conserved,Chr2_core_Tb427v10,
908,Tb427_000670400,-1.5018044973580622,-0.2515149579605053,0.0835196065137806,Retrotransposon hot spot protein  putative,unitig_1891_Tb427v10,PTZ00209
909,Tb427_000799400,-1.5004584813061863,4.119627950827808,9.810947243272733e-06,hypothetical protein  conserved,unitig_2611_Tb427v10,
910,Tb427_000834400,-1.4997757996936003,0.7665462159548353,0.0009831286669648082,Retrotransposon hot spot protein  putative,unitig_407_Tb427v10,RHSP superfamily
911,Tb427_000803200,-1.4995104727995108,0.4929825795111436,0.005502336081350213,Retrotransposon hot spot protein  putative,unitig_2672_Tb427v10,RHSP superfamily
912,Tb427_090058900,-1.4985155826723675,8.365530410810024,7.146195662667247e-07,hypothetical protein  conserved,Chr9_core_Tb427v10,PLN03237 superfamily; LisH superfamily
913,Tb427_000802700,-1.4983512682696798,1.9859305992942458,0.00013165453028818818,Retrotransposon hot spot protein  putative,unitig_2671_Tb427v10,RHSP superfamily
914,Tb427_070074000,-1.4959992044663648,6.027806567590664,2.1154441200316922e-07,hypothetical protein  conserved,Chr7_core_Tb427v10,
915,Tb427_110118200,-1.4937753925372552,1.8899085258784103,0.0005132400859628406,unspecified product,Chr11_core_Tb427v10,
916,Tb427_070007300,-1.493470536645113,5.096867986822033,5.3163804730844825e-06,hypothetical protein  conserved,Chr7_core_Tb427v10,
917,Tb427_000708600,-1.4892013622719116,1.736456801944445,0.0002656281579882598,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,unitig_2087_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR
918,Tb427_070085500,-1.4873270523179782,1.6412859479780948,0.00014741814040582132,Retrotransposon hot spot protein  putative,Chr7_core_Tb427v10,RHSP superfamily
919,Tb427_090019500,-1.4872026533705645,6.796791081189841,2.120749635954898e-06,hypothetical protein  conserved,Chr9_core_Tb427v10,
920,Tb427_110148700,-1.4853051373887678,6.355893683565174,8.901294563568216e-06,hypothetical protein  conserved,Chr11_core_Tb427v10,
921,Tb427_070048100,-1.4840408530350617,6.238926386539039,1.3968461487642418e-06,hypothetical protein  conserved,Chr7_core_Tb427v10,
922,Tb427_000173100,-1.4833097084163809,1.3256751775368192,0.0002813859700115962,Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,Chr11_3B_Tb427v10,RT_nLTR_like; Rnase_HI_RT_non_LTR
923,Tb427_000678400,-1.4816384921181005,-0.23595283490903035,0.0021295962909360687,Protein of unknown function (DUF1181)  putative,unitig_190_Tb427v10,PTZ00204
924,Tb427_000714400,-1.4807520409038328,0.613720454916884,0.0010683693166505992,hypothetical protein  conserved,unitig_2121_Tb427v10,
925,Tb427_110113400,-1.4798510509232068,1.833608077224077,0.000559983079659914,unspecified product,Chr11_core_Tb427v10,
926,Tb427_100077000,-1.4794858271959803,6.067598199310185,6.531177600224757e-07,Fatty acid desaturase  putative,Chr10_core_Tb427v10,Delta6-FADS-like
927,Tb427_080040500,-1.4794524615644289,5.138660361533312,7.429426731821185e-06,hypothetical protein  conserved,Chr8_core_Tb427v10,
928,Tb427_000711600,-1.4786281901240894,4.8725266499099344,1.8511705924845452e-06,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative,unitig_2119_Tb427v10,RNA_pol_Rpb2_6
929,Tb427_000673800,-1.4785699077590193,1.3619914488232228,0.00019424295006147184,Retrotransposon hot spot protein  putative,unitig_1899_Tb427v10,RHSP superfamily
930,Tb427_000747800,-1.4753539248224652,3.3009136854355448,4.055332073604122e-05,RNA polymerase Rpb2  domain 6  putative,unitig_2246_Tb427v10,RNA_pol_B_RPB2 superfamily
931,Tb427_000498600,-1.4732575945225024,0.23836994441503376,0.0024820410040855183,Retrotransposon hot spot protein  putative,Chr8_3A_Tb427v10,RHSP superfamily
932,Tb427_000794800,-1.4732046102074563,3.217949994084565,3.792838032503341e-05,Retrotransposon hot spot protein  putative,unitig_2569_Tb427v10,RHSP superfamily
933,Tb427_000272100,-1.4721051596101198,1.8239332153863197,0.00012180902023736761,Retrotransposon hot spot protein  putative,Chr1_5A_Tb427v10,RHSP superfamily
934,Tb427_000681000,-1.470453758219311,2.9858656118278617,5.0183944051582646e-05,Retrotransposon hot spot protein  putative,unitig_1910_Tb427v10,RHSP superfamily
935,Tb427_110117000,-1.469829446985593,1.6363475631191036,0.0003331514189001683,unspecified product,Chr11_core_Tb427v10,
936,Tb427_070007700,-1.4692349941617542,5.308070109861203,8.379812889979467e-07,hypothetical protein  conserved,Chr7_core_Tb427v10,
937,Tb427_000698400,-1.4688661633470388,0.7081435744350357,0.00048219341284383085,Retrotransposon hot spot protein  putative,unitig_1997_Tb427v10,RHSP superfamily
938,Tb427_000647900,-1.4680568740140822,0.4972772611029466,0.001227001179856052,Protein of unknown function (DUF1181)  putative,unitig_1841_Tb427v10,PTZ00204
939,Tb427_100100600,-1.4577741548632903,1.985657429114701,0.00013733985980795578,hypothetical protein  conserved,Chr10_core_Tb427v10,
940,Tb427_000500900,-1.4576249959800012,2.582999809443695,0.00010449306248499284,Retrotransposon hot spot protein  putative,Chr8_5A_Tb427v10,RHSP superfamily
941,Tb427_070007500,-1.4550607909855953,5.4097048216156125,1.5103615455404332e-06,hypothetical protein  conserved,Chr7_core_Tb427v10,
942,Tb427_000739800,-1.4544554571540649,2.3486523619656112,0.00011377274697926743,Retrotransposon hot spot protein  putative,unitig_2219_Tb427v10,RHSP superfamily
943,Tb427_080065500,-1.454448444869189,6.372560206742058,4.899700611361077e-06,hypothetical protein  conserved,Chr8_core_Tb427v10,
944,Tb427_000712000,-1.4532250138770402,1.383157869908153,0.00031199187950749923,hypothetical protein  conserved,unitig_2119_Tb427v10,
945,Tb427_110185400,-1.4491239245531946,5.641093821403718,3.577038863779732e-06,hypothetical protein  conserved,Chr11_core_Tb427v10,
946,Tb427_060031200,-1.4458283845885938,5.066262781660355,3.369613267195096e-06,hypothetical protein  conserved,Chr6_core_Tb427v10,
947,Tb427_000757700,-1.4448816263526894,5.365106810970693,9.084093072790018e-07,Retrotransposon hot spot protein  putative,unitig_2333_Tb427v10,RHSP superfamily
948,Tb427_110115800,-1.4440345340569278,2.0575761893750637,0.0004198614301200678,unspecified product,Chr11_core_Tb427v10,
949,Tb427_100029900,-1.4422836352828388,7.466046098696704,2.397591873546613e-06,lactate/malate dehydrogenase  NAD binding domain/lactate/malate dehydrogenase  alpha/beta C-terminal domain containing protein  putative,Chr10_core_Tb427v10,PTZ00325
950,Tb427_000661000,-1.4393266930046331,2.2121703167385864,0.00011712980886100913,hypothetical protein  conserved,unitig_1860_Tb427v10,internalin_A superfamily
951,Tb427_000674100,-1.4384852344942598,1.3856426082093332,0.0006452193015367934,Retrotransposon hot spot protein  putative,unitig_1900_Tb427v10,RHSP superfamily
952,Tb427_000764500,-1.4378028968044698,4.543119214176723,4.9310807925413835e-06,RNA polymerase Rpb2  domain 4  putative,unitig_2448_Tb427v10,RNA_pol_Rpb2_4
953,Tb427_050023200,-1.4362751186580127,6.045733280527588,4.534094986235859e-07,hypothetical protein  conserved,Chr5_core_Tb427v10,
954,Tb427_000712300,-1.4351610425366423,1.2133794250902887,0.00036272169132702583,hypothetical protein  conserved,unitig_2120_Tb427v10,
955,Tb427_100098000,-1.4348743323381643,8.710465692897115,1.6120138116581702e-06,BT1 family  putative,Chr10_core_Tb427v10,BT1 superfamily
956,Tb427_000810600,-1.4339815692852356,3.363009865812053,4.4523202745764554e-05,Retrotransposon hot spot protein  putative,unitig_284_Tb427v10,RHSP superfamily
957,Tb427_000738900,-1.4336487053282123,2.1213262599301865,0.0005815757573598951,Retrotransposon hot spot protein  putative,unitig_2218_Tb427v10,RHSP superfamily
958,Tb427_080083000,-1.4325258348185117,5.109004681414921,1.5114995577529797e-06,Transmembrane amino acid transporter protein  putative,Chr8_core_Tb427v10,SLC5-6-like_sbd superfamily
959,Tb427_000678600,-1.4319308322952295,4.335543269648058,9.163794399669578e-06,Retrotransposon hot spot protein  putative,unitig_190_Tb427v10,RHSP superfamily
960,Tb427_100071800,-1.4310117944411316,8.20997854202322,1.7857532535789475e-06,Plasma-membrane choline transporter  putative,Chr10_core_Tb427v10,Choline_transpo
961,Tb427_110148500,-1.430313408995579,6.341431398876519,3.3561164929814516e-06,hypothetical protein  conserved,Chr11_core_Tb427v10,
962,Tb427_000802000,-1.4289890249639543,-0.6796123341830425,0.006540948215729868,Protein of unknown function (DUF1181)  putative,unitig_2671_Tb427v10,PTZ00204
963,Tb427_000741300,-1.428938405090925,1.4940303661214662,0.00034976571369547125,Retrotransposon hot spot protein  putative,unitig_2222_Tb427v10,RHSP superfamily; RHSP superfamily
964,Tb427_100044200,-1.4285218880518233,5.318423675863267,2.077002618186831e-06,hypothetical protein  conserved,Chr10_core_Tb427v10,
965,Tb427_110115500,-1.4279256292960618,0.9364121339168674,0.0005463374444952723,unspecified product,Chr11_core_Tb427v10,
966,Tb427_000273800,-1.4276762124676554,2.8157135185304827,0.0001521644063487058,hypothetical protein  conserved,Chr1_5A_Tb427v10,internalin_A superfamily; internalin_A superfamily; internalin_A superfamily
967,Tb427_000722000,-1.4260332196681174,-0.4731234561948873,0.006008704136110792,hypothetical protein  conserved,unitig_2166_Tb427v10,
968,Tb427_000813500,-1.4257847918654212,-0.4204901000880762,0.005708075552211906,hypothetical protein,unitig_2996_Tb427v10,
969,Tb427_110116100,-1.4241190234845884,0.4368536109271373,0.005813192068640338,unspecified product,Chr11_core_Tb427v10,
970,Tb427_100141800,-1.4231343641168253,4.064131196825788,1.4411153700701514e-05,hypothetical protein  conserved,Chr10_core_Tb427v10,
971,Tb427_000721200,-1.4226024774408772,6.461062756261004,2.3742707407772364e-07,RNA polymerase Rpb2  domain 4  putative,unitig_2166_Tb427v10,RNA_pol_Rpb2_4
972,Tb427_100025900,-1.4223374453587123,4.00686250648578,1.91244513166917e-05,hypothetical protein  conserved,Chr10_core_Tb427v10,
973,Tb427_000672700,-1.4207094942877498,1.4275701941023984,0.0003244487637665859,Leucine Rich repeat  putative,unitig_1898_Tb427v10,internalin_A superfamily; PLN00113 superfamily
974,Tb427_000678200,-1.4198453011549264,0.5130202482909944,0.004455809809897348,hypothetical protein  conserved,unitig_1906_Tb427v10,
975,Tb427_010020100,-1.4197309630907058,5.711594127872647,4.6850346852634037e-07,hypothetical protein  conserved,Chr1_core_Tb427v10,
976,Tb427_000775300,-1.4187107600988929,0.8650817083581942,0.0012803645424648595,Adenylate and Guanylate cyclase catalytic domain containing protein  putative,unitig_2467_Tb427v10,Nucleotidyl_cyc_III superfamily
977,Tb427_080083400,-1.4133175524636343,6.080468392278119,1.4400074069531094e-06,TLC domain containing protein  putative,Chr8_core_Tb427v10,TRAM_LAG1_CLN8
978,Tb427_110154900,-1.4132648372382082,2.1243228188141305,0.00047339761970352615,hypothetical protein  conserved,Chr11_core_Tb427v10,
979,Tb427_080081100,-1.4124162358351249,7.477857799041554,5.796920224017869e-06,Enoyl-CoA hydratase/isomerase  putative,Chr8_core_Tb427v10,crotonase-like
980,Tb427_000786200,-1.4121670648264988,1.3565977755954954,0.0006813260462076742,Retrotransposon hot spot protein  putative,unitig_2507_Tb427v10,RHSP superfamily
981,Tb427_000821200,-1.4081086791174393,2.635917841550321,7.03493640583546e-05,Retrotransposon hot spot protein/Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase)/RNase H  putative,unitig_3076_Tb427v10,RHSP superfamily; RT_nLTR_like; Rnase_HI_RT_non_LTR; EEP superfamily
982,Tb427_110113500,-1.4066865420175438,0.7967177981498254,0.001827752087324332,unspecified product,Chr11_core_Tb427v10,
983,Tb427_000680600,-1.4060142190154379,5.404952502083943,6.809411989843993e-07,Retrotransposon hot spot protein  putative,unitig_1910_Tb427v10,RHSP superfamily
984,Tb427_060020800,-1.4026067193854646,2.7459736983666434,0.00013925035651003696,hypothetical protein  conserved,Chr6_core_Tb427v10,
985,Tb427_000808400,-1.4019667738738366,1.173304246019032,0.0034976854476103715,Retrotransposon hot spot protein  putative,unitig_284_Tb427v10,RHSP superfamily
986,Tb427_000268700,-1.3977149122491943,2.0328252744721835,0.00012854482803288563,hypothetical protein  conserved,Chr1_5A_Tb427v10,internalin_A superfamily; internalin_A superfamily; internalin_A superfamily; internalin_K
987,Tb427_040037800,-1.3969636868413513,7.3526938782506255,4.7363267319229825e-06,Amastin surface glycoprotein  putative,Chr4_core_Tb427v10,Amastin
988,Tb427_000758500,-1.3954736054297556,3.70474310020662,3.182597140932903e-05,Retrotransposon hot spot protein  putative,unitig_2333_Tb427v10,RHSP superfamily
989,Tb427_000761500,-1.392288964070609,-0.8236303994370698,0.011350673436640963,hypothetical protein  conserved,unitig_2342_Tb427v10,
990,Tb427_110011700,-1.3916125207434071,7.054601946182372,3.86729966028479e-06,Dynein light chain type 1  putative,Chr11_core_Tb427v10,PTZ00059
991,Tb427_000643900,-1.3913463844443283,0.2840818876306588,0.0012678602928345949,hypothetical protein  conserved,unitig_182_Tb427v10,
992,Tb427_070024700,-1.3908862463019367,0.06322438918158887,0.002566808948156587,Retrotransposon hot spot protein  putative,Chr7_core_Tb427v10,RHSP superfamily
993,Tb427_040055800,-1.390688944468478,6.018299045518488,2.974993088364518e-07,Galactosyltransferase  putative,Chr4_core_Tb427v10,PTZ00210
994,Tb427_000630700,-1.3906532587183076,0.08992691258499395,0.00341724557139533,hypothetical protein  conserved,Tb427VSG-2061_unitig_Tb427v10,
995,Tb427_100130100,-1.3895881712225346,3.404093316385896,3.939867591105479e-05,Methyltransferase domain containing protein  putative,Chr10_core_Tb427v10,Methyltransf_25; RHOD
996,Tb427_070031500,-1.3835248085718401,7.346948590012348,7.470644514439494e-07,Oxidoreductase FAD-binding domain/Oxidoreductase NAD-binding domain containing protein  putative,Chr7_core_Tb427v10,cyt_b5_reduct_like
997,Tb427_110148900,-1.3828427208540175,6.370961139086903,4.6671643491378336e-06,hypothetical protein  conserved,Chr11_core_Tb427v10,
998,Tb427_000692400,-1.381195499444738,-0.7423780676024414,0.0063830458419811345,hypothetical protein  conserved,unitig_1967_Tb427v10,
999,Tb427_000681400,-1.3795460165183575,1.2596823249428126,0.0007710620663266376,Retrotransposon hot spot protein  putative,unitig_1910_Tb427v10,RHSP superfamily
1000,Tb427_000764200,-1.378792805229232,4.855981013201925,2.7761785197411148e-06,RNA polymerase Rpb2  domain 4  putative,unitig_2448_Tb427v10,RNA_pol_Rpb2_4
1001,Tb427_000801000,-1.3784524914688885,2.1151688361338907,0.00020016709498035126,hypothetical protein  conserved,unitig_262_Tb427v10,
1002,Tb427_000635300,-1.3768722205534285,2.1930103618132293,0.00014444859427263038,Retrotransposon hot spot protein  putative,unitig_148_Tb427v10,RHSP superfamily
1003,Tb427_000770300,-1.3745750924593019,3.9393704484904988,2.0527428743577193e-05,RNA polymerase Rpb2  domain 4/RNA polymerase Rpb2  domain 6  putative,unitig_2455_Tb427v10,RNA_pol_Rpb2_4; RNA_pol_Rpb2_6
1004,Tb427_000501100,-1.3740855626183688,1.3855808093309143,0.0004592736500865989,hypothetical protein  conserved,Chr8_5A_Tb427v10,
1005,Tb427_080056400,-1.3731286005659409,4.453845884792811,2.5502404447981742e-05,hypothetical protein  conserved,Chr8_core_Tb427v10,PPP1R42; LRR_RI superfamily
1006,Tb427_000757500,-1.37178122309503,1.3231375480248808,0.0003577591704613475,hypothetical protein,unitig_2332_Tb427v10,
1007,Tb427_100117700,-1.3716272543415624,5.93096599417851,5.214338630502198e-07,hypothetical protein  conserved,Chr10_core_Tb427v10,
1008,Tb427_000485400,-1.3708127298875439,-0.4575593859369345,0.004954766404315915,hypothetical protein  conserved,Chr8_3A_Tb427v10,
1009,Tb427_070080800,-1.3699508544076242,4.1270792486215,1.562989861782022e-05,hypothetical protein  conserved,Chr7_core_Tb427v10,
1010,Tb427_000776900,-1.369812097828304,2.2366391088500017,0.00034548906849365995,Adenylate and Guanylate cyclase catalytic domain containing protein  putative,unitig_2476_Tb427v10,Nucleotidyl_cyc_III superfamily; Periplasmic_Binding_Protein_type1 superfamily
1011,Tb427_110190100,-1.369124767762928,5.609780450174753,4.978114227214894e-07,Cytochrome oxidase c subunit VIb  putative,Chr11_core_Tb427v10,COX6B
1012,Tb427_040005200,-1.3675865268981724,5.780645759320969,6.531177600224757e-07,hypothetical protein  conserved,Chr4_core_Tb427v10,
1013,Tb427_020019500,-1.363498209795565,8.876405307821448,3.6391114924821343e-06,Phosphoenolpyruvate carboxykinase  putative,Chr2_core_Tb427v10,PTZ00311
1014,Tb427_090072100,-1.363341356634783,6.379633560360048,9.053909485947468e-07,Riboflavin kinase  putative,Chr9_core_Tb427v10,Flavokinase
1015,Tb427_000784700,-1.3621133868220678,4.864275747602368,3.18206069927121e-06,Retrotransposon hot spot protein  putative,unitig_2500_Tb427v10,RHSP superfamily
1016,Tb427_070065600,-1.36099965496501,6.0598390699632825,6.281781011049647e-07,Major Facilitator Superfamily/Nodulin-like  putative,Chr7_core_Tb427v10,PTZ00207
1017,Tb427_050010500,-1.3596226087921215,1.95951082224361,0.00204651824111928,hypothetical protein  conserved,Chr5_core_Tb427v10,
1018,Tb427_030050800,-1.3577553945577503,5.375990696697331,9.98050914333046e-07,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus  putative,Chr3_core_Tb427v10,GpsA superfamily
1019,Tb427_070031600,-1.3574212128850696,6.481915313899252,2.6581345825904424e-07,Oxidoreductase FAD-binding domain/Oxidoreductase NAD-binding domain containing protein  putative,Chr7_core_Tb427v10,cyt_b5_reduct_like
1020,Tb427_050028200,-1.3540741452125902,6.808617811272477,1.3824357470458165e-06,META domain containing protein  putative,Chr5_core_Tb427v10,META
1021,Tb427_000547500,-1.353987805264366,1.0407021865975037,0.00045537751805205793,hypothetical protein,Chr8_5B_Tb427v10,
1022,Tb427_100143400,-1.3531988106298587,5.921198388474928,1.5957415296867538e-06,GHMP kinases N terminal domain/Mevalonate 5-diphosphate decarboxylase C-terminal domain containing protein  putative,Chr10_core_Tb427v10,MVD1 superfamily
